      1000,     0.0000,     0.0007,     0.0005,      1000,     0.0003,     0.0004,     0.0004
      2000,     0.0001,     0.0037,     0.0025,      2000,     0.0004,     0.0004,     0.0005
      3000,     0.0002,     0.0071,     0.0038,      3000,     0.0007,     0.0007,     0.0008
      4000,     0.0001,     0.0109,     0.0065,      4000,     0.0007,     0.0007,     0.0009
      5000,     0.0002,     0.0170,     0.0101,      5000,     0.0009,     0.0009,     0.0011
      6000,     0.0002,     0.0239,     0.0142,      6000,     0.0011,     0.0010,     0.0013
      7000,     0.0002,     0.0363,     0.0189,      7000,     0.0013,     0.0013,     0.0017
      8000,     0.0002,     0.0437,     0.0248,      8000,     0.0016,     0.0015,     0.0018
      9000,     0.0003,     0.0534,     0.0323,      9000,     0.0022,     0.0022,     0.0026
     10000,     0.0003,     0.0671,     0.0381,     10000,     0.0019,     0.0019,     0.0023
     11000,     0.0003,     0.0811,     0.0467,     11000,     0.0022,     0.0021,     0.0026
     12000,     0.0006,     0.0967,     0.0558,     12000,     0.0030,     0.0027,     0.0030
     13000,     0.0004,     0.1110,     0.0654,     13000,     0.0025,     0.0024,     0.0030
     14000,     0.0004,     0.1307,     0.0745,     14000,     0.0027,     0.0026,     0.0033
     15000,     0.0007,     0.1514,     0.0875,     15000,     0.0031,     0.0029,     0.0035
     16000,     0.0005,     0.1700,     0.0975,     16000,     0.0031,     0.0032,     0.0038
     17000,     0.0005,     0.1899,     0.1127,     17000,     0.0034,     0.0033,     0.0040
     18000,     0.0006,     0.2124,     0.1248,     18000,     0.0039,     0.0035,     0.0043
     19000,     0.0010,     0.2430,     0.1402,     19000,     0.0039,     0.0037,     0.0045
     20000,     0.0010,     0.2627,     0.1538,     20000,     0.0053,     0.0039,     0.0052
     21000,     0.0012,     0.2915,     0.1688,     21000,     0.0046,     0.0041,     0.0052
     22000,     0.0007,     0.3200,     0.1879,     22000,     0.0044,     0.0043,     0.0053
     23000,     0.0018,     0.3552,     0.2047,     23000,     0.0055,     0.0046,     0.0055
     24000,     0.0007,     0.3804,     0.2223,     24000,     0.0047,     0.0047,     0.0058
     25000,     0.0012,     0.4202,     0.2400,     25000,     0.0054,     0.0050,     0.0060
     26000,     0.0008,     0.4474,     0.2609,     26000,     0.0052,     0.0053,     0.0063
     27000,     0.0009,     0.4893,     0.2798,     27000,     0.0067,     0.0055,     0.0065
     28000,     0.0009,     0.5119,     0.3063,     28000,     0.0058,     0.0056,     0.0070
     29000,     0.0013,     0.5571,     0.3170,     29000,     0.0058,     0.0059,     0.0074
     30000,     0.0009,     0.5931,     0.3445,     30000,     0.0062,     0.0061,     0.0073
     31000,     0.0010,     0.6496,     0.3673,     31000,     0.0085,     0.0077,     0.0091
     32000,     0.0017,     0.6784,     0.3676,     32000,     0.0054,     0.0054,     0.0067
     33000,     0.0009,     0.6271,     0.4254,     33000,     0.0069,     0.0069,     0.0081
     34000,     0.0011,     0.7615,     0.4509,     34000,     0.0075,     0.0070,     0.0084
     35000,     0.0011,     0.8302,     0.4802,     35000,     0.0074,     0.0070,     0.0090
     36000,     0.0016,     0.8552,     0.4959,     36000,     0.0077,     0.0073,     0.0090
     37000,     0.0015,     0.9057,     0.5303,     37000,     0.0078,     0.0077,     0.0091
     38000,     0.0012,     0.9589,     0.5577,     38000,     0.0079,     0.0077,     0.0096
     39000,     0.0013,     1.0173,     0.5702,     39000,     0.0071,     0.0067,     0.0081
     40000,     0.0010,     0.8850,     0.5825,     40000,     0.0069,     0.0069,     0.0083
     41000,     0.0013,     1.0220,     0.6508,     41000,     0.0089,     0.0083,     0.0100
     42000,     0.0013,     1.1611,     0.6912,     42000,     0.0086,     0.0088,     0.0104
     43000,     0.0013,     1.2489,     0.7141,     43000,     0.0088,     0.0087,     0.0108
     44000,     0.0014,     1.2654,     0.7468,     44000,     0.0092,     0.0092,     0.0110
     45000,     0.0014,     1.3342,     0.7780,     45000,     0.0096,     0.0092,     0.0114
     46000,     0.0014,     1.3944,     0.7992,     46000,     0.0094,     0.0094,     0.0115
     47000,     0.0015,     1.4762,     0.8490,     47000,     0.0099,     0.0098,     0.0120
     48000,     0.0019,     1.5243,     0.8857,     48000,     0.0105,     0.0100,     0.0120
     49000,     0.0015,     1.5847,     0.9178,     49000,     0.0102,     0.0100,     0.0124
     50000,     0.0015,     1.6417,     0.9657,     50000,     0.0105,     0.0103,     0.0126
